Type,Range.Price,RoughRange,gpm100,MPG.city,MPG.highway,Price
Midsize,3.1,3.09,3.8,22,31,15.7
Large,1.8,1.79,4.2,19,28,20.8
Large,2.3,2.31,4.9,16,25,23.7
Midsize,0,-0.01,4.3,19,27,26.3
Large,3.3,3.3,4.9,16,25,34.7
Midsize,5.2,5.18,4.9,16,25,40.1
Compact,9.8,9.8,3.3,25,36,13.4
Compact,0,-0.01,3.4,25,34,11.4
Sporty,3.4,3.38,4.2,19,28,15.1
Midsize,5,5.01,4,21,29,15.9
Van,3.3,3.31,4.9,18,23,16.3
Van,3.9,3.9,5.7,15,20,16.6
Large,1.6,1.6,4.7,17,26,18.8
Sporty,6.9,6.88,4.8,17,25,38
Large,0,-0.01,4.2,20,28,18.4
Compact,2.6,2.59,3.9,23,28,15.8
Large,0,0.02,4.3,20,26,29.5
Small,2.7,2.68,3.2,29,33,9.2
Small,5.8,5.8,3.8,23,29,11.3
Compact,2.8,2.81,4.1,22,27,13.3
Van,10.8,10.77,5.3,17,21,19
Midsize,1.6,1.6,4.2,21,27,15.6
Sporty,14.6,14.6,4.8,18,24,25.8
Small,8.6,8.6,3.2,29,33,12.2
Large,3.7,3.69,4.2,20,28,19.3
Small,1,1,3.1,31,33,7.4
Small,3.5,3.49,3.8,23,30,10.1
Compact,1.8,1.82,4.1,22,27,11.3
Sporty,10.2,10.21,3.9,22,29,15.9
Sporty,2.4,2.4,3.7,24,30,14
Van,10.8,10.82,5.7,15,20,19.9
Midsize,9.2,9.21,3.9,21,30,20.2
Large,1.6,1.59,4.5,18,26,20.9
Midsize,2,1.99,4.7,17,26,34.3
Large,3.4,3.42,4.5,18,26,36.1
Sporty,1.7,1.71,4.1,23,26,14.1
Midsize,0,-0.02,4.4,19,26,14.9
Compact,1,0.99,3.6,24,31,13.5
Midsize,4.2,4.19,3.7,23,31,16.3
Van,0,0,4.9,18,23,19.5
Large,2.4,2.41,4.2,19,28,20.7
Sporty,6,6.01,3.8,23,30,14.4
Small,1.7,1.69,2.8,31,41,9
Compact,3.4,3.39,3.7,23,31,11.1
Sporty,7.4,7.4,4.2,19,28,17.7
Midsize,6.2,6.19,4.3,19,27,18.5
Large,10,10,4.2,19,28,24.4
Small,3.7,3.7,3,28,38,11.1