GP,MIN,PTS,FGM,FGA,FGP,3PM,3PA,3PP,FTM,FTA,FTP,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,target
72,29,17,7,14,51,0,0,10,3,4,81,3,5,7,1,1,2,1,19,0
75,30,21,7,16,47,2,5,35,4,5,81,2,4,5,2,1,2,3,19,0
77,30,17,6,14,46,1,4,38,3,4,88,1,5,6,2,1,0,1,17,0
69,30,19,6,15,42,2,7,36,4,5,87,1,2,2,3,1,0,2,14,0
80,30,17,6,13,43,2,6,35,5,5,87,1,3,4,5,2,0,2,18,0
74,30,19,8,15,52,0,0,0,4,5,76,3,4,7,1,0,2,2,20,0
74,31,19,7,16,46,0,1,16,4,6,79,1,3,4,5,1,1,3,17,0
74,31,18,7,14,51,0,0,0,4,4,86,2,6,9,2,1,1,1,21,0
79,31,19,7,16,43,2,4,35,4,4,86,1,3,3,6,1,0,3,17,0
65,31,18,8,16,51,0,0,22,2,2,75,3,6,9,3,1,1,2,21,0
75,32,18,7,15,45,2,5,37,3,4,89,1,6,7,2,1,1,1,18,0
62,32,22,8,18,47,1,2,28,5,6,77,1,3,4,5,1,0,3,17,0
77,32,22,8,17,46,3,7,44,3,3,88,0,3,3,3,1,1,2,18,0
82,32,18,8,14,54,0,1,34,3,3,81,3,8,11,2,1,2,2,24,0
68,32,19,7,15,43,2,4,39,5,5,89,1,3,3,2,1,0,2,14,0
72,32,17,5,11,43,2,5,40,5,6,92,0,2,3,5,1,0,3,17,0
82,32,22,7,17,43,2,6,36,6,7,87,1,2,3,6,1,0,3,19,0
63,32,17,6,14,42,2,5,39,3,4,87,0,3,4,5,1,0,3,16,0
73,32,19,8,17,45,1,2,37,3,4,75,2,4,6,2,1,1,3,15,0
71,32,23,8,17,50,0,0,0,6,8,73,3,9,12,3,2,1,4,26,0
78,32,18,7,14,52,0,1,36,3,4,77,0,3,3,7,1,0,3,18,0
80,33,18,7,13,54,0,0,18,4,5,66,2,6,8,4,1,1,2,22,0
80,33,24,7,16,44,2,6,38,7,8,89,0,3,3,3,1,0,2,18,0
74,33,18,8,15,50,0,0,0,3,4,74,2,6,8,3,1,1,2,20,0
74,33,20,7,15,46,2,4,37,4,4,90,1,4,4,10,2,0,3,25,0
80,33,24,8,17,49,4,8,44,4,4,91,1,4,4,8,2,0,3,26,1
80,33,22,8,16,50,2,4,40,4,5,90,1,6,6,3,1,1,2,22,0
66,33,21,7,16,43,2,5,34,6,7,85,1,4,5,6,1,1,3,21,0
72,33,21,8,15,51,2,4,44,4,5,87,1,6,7,3,2,1,2,24,0
78,33,18,8,16,49,0,0,12,2,3,77,2,7,9,2,1,1,1,21,0
69,33,21,7,15,46,3,6,41,5,5,86,0,3,4,6,1,0,2,21,0
81,33,17,7,13,49,0,0,18,4,5,80,1,6,8,4,1,2,2,22,0
80,33,22,8,17,47,4,8,43,2,3,87,0,3,4,2,1,1,2,18,0
62,33,25,9,17,54,2,5,38,5,6,88,1,8,8,5,1,2,2,30,0
74,33,26,9,18,49,2,5,38,6,7,88,1,5,6,4,2,1,2,25,0
79,33,25,9,18,47,4,10,41,4,5,90,1,4,5,7,2,0,3,25,0
77,33,19,6,14,44,2,5,38,4,6,79,1,6,6,5,1,0,3,19,0
80,34,18,7,16,42,2,6,36,3,4,76,1,5,5,3,1,0,2,16,0
62,34,22,8,17,46,1,3,37,5,6,90,1,6,7,2,1,1,2,20,0
74,34,19,7,14,48,2,5,44,3,3,93,1,3,4,6,2,0,3,19,0
73,34,21,8,16,51,0,0,14,4,6,79,3,5,8,2,1,2,2,22,0
80,34,19,8,17,45,1,4,29,3,4,75,0,2,2,4,2,0,3,15,0
71,34,18,7,11,59,0,0,29,5,9,55,3,9,12,2,1,2,3,23,0
76,34,29,9,19,46,3,9,38,8,9,91,1,2,3,6,1,0,3,25,0
82,34,25,9,20,45,1,4,32,6,7,83,1,4,5,5,1,0,3,21,0
61,34,22,8,16,49,1,2,34,5,7,76,2,6,8,5,1,0,2,24,0
78,34,22,8,18,47,3,8,41,2,3,85,1,3,4,2,1,1,2,18,0
61,34,19,7,15,44,2,5,37,5,6,85,1,5,5,5,1,0,3,19,0
61,34,19,9,17,49,0,0,25,2,3,77,2,7,10,2,1,2,1,23,0
59,34,24,8,18,47,0,0,25,7,9,78,3,10,13,4,2,2,4,28,0
55,34,23,8,19,43,1,4,34,5,7,80,2,5,6,4,1,0,3,20,0
72,34,27,9,20,45,2,5,36,7,9,77,2,9,11,5,1,1,4,29,0
79,34,30,10,20,50,5,11,45,5,5,91,1,5,5,7,2,0,3,31,1
74,34,19,9,16,52,0,0,33,2,3,75,3,8,11,2,1,1,2,23,0
62,34,17,6,16,39,1,5,30,4,5,83,1,3,4,5,1,1,2,16,0
74,34,22,8,19,43,2,6,36,4,5,83,1,5,6,3,1,1,2,19,0
73,34,23,8,16,52,1,2,39,5,6,89,1,6,7,3,1,1,2,24,0
76,34,17,7,13,53,0,0,39,3,4,76,2,6,8,3,1,1,2,21,0
80,34,24,8,18,45,1,4,30,6,7,81,2,6,8,10,2,0,4,29,0
67,34,28,9,22,43,1,4,30,8,10,84,2,5,7,9,2,0,4,28,0
76,34,19,6,14,45,2,4,36,5,6,81,1,4,5,4,1,0,3,18,0
78,34,19,7,15,49,0,0,46,4,5,80,3,9,12,3,0,2,2,25,0
73,35,22,8,16,47,2,5,40,5,6,84,1,5,5,4,1,0,2,21,0
70,35,18,6,15,41,2,6,34,4,5,81,1,4,5,7,2,0,3,19,0
65,35,27,9,21,45,1,3,33,7,10,72,2,9,12,3,2,1,4,27,0
81,35,32,10,24,43,3,7,34,9,10,85,2,9,11,10,2,0,5,34,1
81,35,17,6,13,45,1,3,32,4,5,80,1,4,5,6,2,1,3,19,0
79,35,23,8,18,44,3,8,40,4,5,85,1,3,4,6,1,0,2,21,0
72,35,20,7,15,45,2,5,35,5,6,85,1,2,3,6,1,0,3,19,0
73,35,20,7,16,46,1,3,33,4,5,82,2,4,6,3,1,1,3,18,0
69,35,21,8,16,52,0,1,26,5,6,73,1,4,5,5,2,1,3,22,0
82,35,22,8,17,44,0,1,33,7,8,84,2,3,5,8,2,0,4,22,0
80,35,19,6,13,50,1,4,37,5,6,86,0,5,5,3,1,1,2,20,0
80,35,21,8,18,45,3,6,42,2,3,83,1,3,3,4,1,0,3,17,0
81,35,23,8,18,42,3,7,37,6,7,86,1,6,7,4,2,0,3,22,0
82,35,19,7,14,49,2,4,40,4,4,90,1,4,5,10,2,0,2,26,0
68,35,17,7,14,47,1,4,36,3,4,79,1,5,6,2,1,1,2,17,0
82,35,17,7,14,47,0,1,10,4,5,81,1,3,4,2,1,0,2,14,0
77,35,23,8,17,48,3,7,40,4,4,83,1,2,3,4,1,0,2,19,0
82,35,23,8,19,44,1,4,32,6,7,80,1,4,5,7,2,0,3,23,0
82,35,18,6,15,42,1,4,32,4,5,80,1,3,4,6,2,0,2,17,0
78,35,22,8,18,42,2,5,36,5,6,83,1,3,3,3,1,0,3,15,0
80,35,23,9,18,48,2,6,42,3,4,91,1,3,4,4,1,1,2,20,0
60,35,20,7,17,41,0,2,28,6,7,83,1,4,5,4,1,0,2,16,0
73,35,22,10,19,51,0,0,20,3,4,69,2,9,11,2,1,1,2,25,0
62,35,19,7,14,47,1,3,37,5,6,86,1,4,4,11,3,0,2,26,0
73,35,18,6,14,46,2,4,43,4,5,82,0,3,4,3,1,0,2,15,0
79,35,21,7,16,43,2,5,39,5,6,85,1,4,5,3,1,1,3,18,0
70,35,19,8,15,51,0,0,22,4,5,81,2,5,8,2,1,1,2,20,0
72,35,25,9,20,47,3,6,40,4,5,91,1,3,3,6,1,0,3,22,0
72,35,22,8,18,43,2,4,34,5,6,83,1,6,8,4,1,1,2,21,0
81,35,21,7,16,46,1,2,30,5,7,76,1,2,4,2,1,1,2,15,0
76,35,20,7,14,51,2,4,41,4,6,76,1,2,3,6,1,0,3,20,0
67,35,22,9,17,50,0,0,40,5,6,73,2,6,8,5,1,1,2,24,0
71,35,21,8,17,43,2,5,36,4,5,86,1,3,4,6,2,0,3,19,0
67,35,21,8,15,52,0,0,22,5,7,79,3,7,10,2,1,3,2,26,0
82,35,20,8,16,49,0,0,0,5,6,79,2,4,6,2,1,2,2,18,0
76,35,18,7,16,47,1,3,30,2,4,52,2,7,8,4,1,2,3,20,0
66,35,24,9,19,46,1,3,32,5,6,82,2,3,5,6,2,0,4,21,0
66,35,19,7,17,42,2,6,33,3,4,81,1,3,3,6,2,0,2,17,0
74,35,27,10,21,47,0,2,27,7,9,84,1,4,5,4,1,0,2,23,0
71,35,23,9,20,47,1,2,35,4,5,85,3,8,10,2,1,1,2,24,0
68,35,21,8,16,46,1,3,36,5,6,86,1,4,6,4,1,1,3,20,0
81,35,18,7,16,44,3,7,42,2,2,80,1,3,3,2,1,1,2,14,0
61,36,24,9,19,49,1,2,32,5,7,76,2,8,10,2,1,2,2,27,0
60,36,19,7,16,45,2,5,39,3,3,85,1,3,4,4,1,0,2,17,0
72,36,18,7,16,44,1,4,30,3,3,80,1,3,4,5,1,0,2,16,0
76,36,25,10,19,52,1,4,31,5,7,73,2,6,7,7,1,1,3,28,0
80,36,23,8,16,52,1,2,27,6,8,77,2,7,9,5,2,2,3,28,0
81,36,21,7,16,43,2,6,37,5,5,85,1,4,4,5,2,1,2,20,0
75,36,25,8,20,42,3,8,38,6,6,89,1,3,4,7,1,0,3,22,0
82,36,21,7,17,43,2,7,34,4,5,86,1,4,5,6,1,0,3,21,0
72,36,18,7,15,44,1,3,34,4,4,82,1,4,4,4,2,0,3,16,0
77,36,26,9,20,46,1,3,38,7,8,84,2,6,7,3,1,1,3,23,0
66,36,21,8,18,45,1,3,35,4,5,82,1,4,5,2,1,1,2,17,0
72,36,28,10,19,51,3,7,39,6,7,90,1,8,8,5,1,1,4,30,0
80,36,24,9,17,53,0,1,27,6,8,72,2,7,10,4,1,1,3,26,0
82,36,21,7,16,42,3,7,39,5,5,87,0,3,4,6,1,0,2,19,0
75,36,18,7,17,42,1,4,32,3,4,81,1,5,6,3,2,1,3,16,0
73,36,20,7,14,47,1,3,42,6,7,85,5,11,15,3,1,0,2,28,0
75,36,27,9,20,44,3,8,37,7,7,90,1,4,5,6,1,0,3,25,0
75,36,24,8,18,46,3,7,39,5,5,90,1,6,7,3,2,0,3,22,0
78,36,24,8,18,45,1,2,34,7,8,85,1,4,5,4,1,0,2,20,0
79,36,18,7,15,45,1,3,30,4,5,79,1,4,5,10,2,1,4,22,0
82,36,19,8,16,50,0,0,0,3,4,76,3,7,10,2,1,2,1,22,0
75,36,28,10,20,51,1,2,30,7,9,80,2,10,12,2,1,2,2,31,0
79,36,18,6,15,44,2,5,40,4,4,89,1,3,4,4,2,0,2,17,0
69,36,25,9,19,49,2,5,35,5,8,71,1,5,6,7,2,1,4,25,0
68,36,24,9,18,54,0,0,8,6,7,81,3,8,10,2,2,3,1,30,0
77,36,20,7,18,42,2,4,35,4,5,79,1,4,5,10,2,1,4,23,0
80,36,20,7,15,43,2,5,35,5,6,82,1,4,5,4,1,0,3,18,0
69,36,23,9,21,46,0,0,20,4,5,82,2,9,11,3,1,1,2,25,0
80,36,22,7,17,42,2,6,36,5,6,86,1,6,7,4,2,0,3,21,0
80,36,18,6,16,40,2,6,38,3,4,82,1,2,3,7,2,0,3,16,0
66,36,21,9,16,55,0,0,13,4,7,52,3,8,11,3,1,1,2,24,0
77,36,26,8,19,46,3,7,38,7,8,82,3,10,13,4,1,1,3,30,0
82,36,19,7,16,43,1,4,35,4,5,81,1,4,4,9,2,1,4,21,0
55,36,22,9,17,51,0,0,18,4,5,81,3,5,8,2,1,1,2,23,0
55,36,21,7,18,41,2,6,34,5,6,84,0,3,3,9,1,0,4,19,0
75,36,20,8,16,50,0,1,19,4,5,76,4,8,12,2,1,0,2,24,0
77,36,19,7,14,50,0,0,24,5,6,82,2,7,8,2,1,1,2,20,0
78,36,23,8,18,45,1,4,33,5,7,80,1,3,4,11,2,1,4,25,0
81,36,29,8,19,44,3,9,35,9,11,85,1,7,8,11,2,1,6,32,0
75,36,22,8,17,47,2,5,42,4,5,86,1,2,3,5,2,0,3,20,0
78,36,19,6,14,44,2,6,38,4,5,86,0,3,3,8,1,0,3,20,0
60,36,20,7,15,48,1,4,37,4,5,86,1,3,4,9,3,0,2,25,0
78,37,24,8,18,47,3,8,42,4,5,89,1,4,4,9,2,0,4,25,0
58,37,20,8,18,43,1,4,31,4,5,80,0,3,3,6,2,0,3,17,0
82,37,18,7,15,45,0,2,28,4,5,83,1,3,4,3,1,0,2,15,0
81,37,27,8,18,44,3,7,38,9,10,87,1,5,6,7,2,1,4,27,0
79,37,19,8,15,52,0,0,0,3,4,80,3,9,11,4,1,0,3,24,0
78,37,25,10,19,50,0,0,44,6,8,79,3,6,8,3,1,2,3,25,0
67,37,21,7,15,45,1,3,31,6,7,83,1,4,5,5,2,1,2,22,0
82,37,19,7,16,45,1,3,33,4,5,79,1,3,4,6,2,0,3,18,0
76,37,24,8,17,46,1,3,37,8,9,87,2,5,6,6,2,0,2,26,0
77,37,21,7,16,43,3,7,39,5,6,81,1,4,5,6,2,0,3,22,0
82,37,25,10,18,54,1,3,37,4,5,83,4,9,12,3,1,1,3,30,0
67,37,29,10,22,45,2,6,38,6,8,83,2,5,7,3,1,1,3,23,0
82,37,19,7,14,53,0,0,33,4,5,82,3,7,10,3,1,2,2,25,0
76,37,26,9,18,50,1,3,31,7,9,76,2,5,6,5,2,1,3,25,0
82,37,24,9,19,45,1,4,36,5,7,76,1,3,4,2,1,0,2,17,0
57,37,20,8,16,50,0,0,0,4,5,78,3,7,10,3,1,0,3,22,0
65,37,19,8,16,46,1,3,31,3,4,79,2,4,6,2,2,1,3,18,0
60,37,22,7,15,46,3,8,41,5,6,82,1,4,5,7,2,0,3,24,0
81,37,25,9,20,45,2,5,33,6,7,86,1,3,4,8,1,1,3,23,1
82,38,19,7,18,42,1,4,29,4,5,77,1,3,4,6,2,0,3,17,0
78,38,18,7,17,43,1,3,37,2,3,75,1,3,4,8,2,0,4,18,0
62,38,27,10,19,53,1,2,36,6,8,77,2,6,8,6,2,1,3,30,1
78,38,23,8,13,59,0,0,0,7,12,60,4,10,14,1,1,2,4,28,0
77,38,27,10,18,57,2,4,38,6,8,75,1,6,7,6,2,0,4,29,0
74,38,21,9,18,48,0,0,14,4,5,81,2,7,9,3,1,1,2,23,0
74,38,26,10,18,55,2,5,36,5,7,67,1,7,9,9,1,1,4,31,0
76,38,27,10,18,57,1,3,41,5,7,75,1,7,8,7,2,1,3,32,1
73,38,25,8,17,46,2,7,37,8,9,87,1,4,5,6,2,0,4,24,0
82,38,23,9,17,51,0,0,29,5,9,64,3,9,12,4,1,1,3,26,0
82,38,29,9,20,44,3,8,36,9,10,86,1,5,6,8,2,1,5,28,0
79,38,23,8,18,43,1,3,31,7,8,82,1,4,4,4,1,0,2,19,0
78,38,23,8,18,45,4,8,45,3,4,90,1,3,4,7,2,0,3,22,0
78,38,26,8,17,44,2,6,37,9,10,85,1,4,5,6,2,1,4,24,0
81,39,32,11,21,50,2,6,39,9,10,87,1,7,7,6,1,1,4,32,1
81,39,28,9,18,51,2,4,42,8,9,91,1,7,8,5,1,1,4,30,0
58,39,28,10,23,43,2,5,30,7,8,85,1,4,5,5,1,0,4,21,0
78,39,27,10,20,46,2,5,32,7,8,84,1,5,6,6,1,0,4,25,0
82,39,19,7,16,43,2,6,37,3,4,84,1,3,3,7,1,0,3,17,0
66,39,28,10,20,50,2,5,39,7,8,86,1,7,8,4,1,1,4,27,0
65,39,20,7,14,46,1,3,38,6,7,83,2,4,6,3,2,1,1,21,0
77,39,27,10,21,45,2,5,40,6,7,85,2,6,8,3,1,1,3,25,0
79,39,27,10,19,51,1,4,33,6,8,76,1,7,8,7,2,1,4,29,0
78,39,28,9,20,46,2,5,35,8,9,88,1,6,7,3,1,1,3,25,0
55,39,26,9,19,45,2,5,37,7,8,82,4,9,13,2,1,1,2,28,0
82,39,17,7,14,46,1,4,35,3,4,75,1,4,6,3,1,1,2,17,0
81,40,22,9,18,50,0,0,17,4,6,79,3,5,9,2,1,1,2,23,0
80,40,24,9,20,45,2,5,36,4,5,79,1,3,4,6,2,0,3,20,0